trip_id,vehicle_number,tstamp,location_id,ons,offs
1175,2922,2022-12-07 16:16:54,9985,3,0
1330,4025,2022-12-07 14:44:09,5846,0,0
0,4054,2022-12-07 08:55:12,2685,2,0
1010,3643,2022-12-07 15:03:18,9985,0,0
1010,3643,2022-12-07 15:03:36,9981,2,0
1010,3643,2022-12-07 15:06:47,12945,0,0
1010,3643,2022-12-07 15:08:56,8491,0,0
1010,3643,2022-12-07 15:09:21,3584,0,0
1010,3643,2022-12-07 15:09:42,3586,0,0
1010,3643,2022-12-07 15:10:10,3581,0,0
1010,3643,2022-12-07 15:11:14,9687,3,1
1010,3643,2022-12-07 15:12:21,9688,1,1
1010,3643,2022-12-07 15:13:46,9689,0,0
1010,3643,2022-12-07 15:14:49,9694,2,0
1010,3643,2022-12-07 15:15:47,9695,1,0
1010,3643,2022-12-07 15:17:14,9696,0,0
1010,3643,2022-12-07 15:29:50,9697,0,0
1010,3643,2022-12-07 15:30:42,9698,0,0
1010,3643,2022-12-07 15:31:44,9705,0,0
1010,3643,2022-12-07 15:32:06,9706,0,1
1010,3643,2022-12-07 15:33:07,341,0,1
1010,3643,2022-12-07 15:34:19,12944,0,1
1010,3643,2022-12-07 15:36:04,8435,0,0
1010,3643,2022-12-07 15:37:09,9985,0,4
1020,3643,2022-12-07 15:37:40,9985,2,0
1020,3643,2022-12-07 15:37:53,9981,0,0
1020,3643,2022-12-07 15:39:53,12945,0,0
1020,3643,2022-12-07 15:42:28,8491,0,0
1020,3643,2022-12-07 15:42:56,3584,0,0
1020,3643,2022-12-07 15:43:30,3586,0,0
1020,3643,2022-12-07 15:43:54,3581,0,0
1020,3643,2022-12-07 15:46:13,9687,0,3
1020,3643,2022-12-07 15:47:44,9688,0,0
1020,3643,2022-12-07 15:48:44,9689,0,0
1020,3643,2022-12-07 15:49:55,9694,1,0
1020,3643,2022-12-07 15:50:50,9695,1,0
1020,3643,2022-12-07 15:52:09,9696,0,0
1030,3643,2022-12-07 15:55:28,9694,0,0
1030,3643,2022-12-07 16:04:05,9697,0,0
1030,3643,2022-12-07 16:04:40,9698,0,0
1030,3643,2022-12-07 16:05:37,9705,0,0
1030,3643,2022-12-07 16:06:08,9706,0,0
1030,3643,2022-12-07 16:08:09,341,0,1
1030,3643,2022-12-07 16:10:00,12944,0,0
1030,3643,2022-12-07 16:11:36,8435,0,0
1030,3643,2022-12-07 16:13:31,9985,2,1
1040,3643,2022-12-07 16:27:33,9694,0,0
1040,3643,2022-12-07 16:36:30,9697,2,3
1040,3643,2022-12-07 16:37:38,9698,0,0
1040,3643,2022-12-07 16:39:08,9705,0,0
1040,3643,2022-12-07 16:39:42,9706,0,0
1040,3643,2022-12-07 16:40:14,341,0,0
1040,3643,2022-12-07 16:41:39,12944,1,0
1040,3643,2022-12-07 16:43:05,8435,0,0
1040,3643,2022-12-07 16:44:31,9985,0,2
1050,3643,2022-12-07 17:00:45,9694,0,0
1050,3643,2022-12-07 17:11:02,9697,2,4
1050,3643,2022-12-07 17:11:45,9698,0,0
1050,3643,2022-12-07 17:12:48,9705,0,0
1050,3643,2022-12-07 17:13:24,9706,0,0
1050,3643,2022-12-07 17:13:50,341,2,0
1050,3643,2022-12-07 17:15:34,12944,0,0
1050,3643,2022-12-07 17:16:53,8435,0,0
1050,3643,2022-12-07 17:18:32,9985,0,0
1060,3643,2022-12-07 17:33:58,9694,0,0
1060,3643,2022-12-07 17:41:36,9697,2,2
1060,3643,2022-12-07 17:42:14,9698,0,0
1060,3643,2022-12-07 17:43:33,9705,0,0
1060,3643,2022-12-07 17:43:55,9706,0,0
1060,3643,2022-12-07 17:45:43,341,0,1
1060,3643,2022-12-07 17:47:48,12944,0,0
1060,3643,2022-12-07 17:49:09,8435,0,0
1060,3643,2022-12-07 17:50:50,9985,0,1
1070,3643,2022-12-07 18:07:25,9694,0,0
1070,3643,2022-12-07 18:16:20,9697,2,0
1070,3643,2022-12-07 18:17:00,9698,0,0
1070,3643,2022-12-07 18:17:59,9705,1,0
1070,3643,2022-12-07 18:18:49,9706,0,0
1070,3643,2022-12-07 18:20:29,341,0,0
1070,3643,2022-12-07 18:21:11,12944,0,1
1070,3643,2022-12-07 18:22:01,8435,0,0
1070,3643,2022-12-07 18:51:18,9985,0,7
1005,3804,2022-12-07 05:21:15,9650,1,0
1005,3804,2022-12-07 05:22:31,6126,0,0
1005,3804,2022-12-07 05:23:05,9169,0,0
1005,3804,2022-12-07 05:23:47,5164,0,0
1005,3804,2022-12-07 05:24:14,5189,0,0
1005,3804,2022-12-07 05:24:37,9038,1,0
1005,3804,2022-12-07 05:25:11,5166,0,0
1005,3804,2022-12-07 05:25:37,8619,0,0
1005,3804,2022-12-07 05:26:09,8620,3,0
1005,3804,2022-12-07 05:27:18,8621,0,0
1005,3804,2022-12-07 05:27:48,8622,2,0
1005,3804,2022-12-07 05:28:47,8673,1,0
1005,3804,2022-12-07 05:29:51,11521,1,0
1005,3804,2022-12-07 05:30:32,8625,0,0
1005,3804,2022-12-07 05:30:52,8626,0,0
1005,3804,2022-12-07 05:31:25,8627,0,0
1005,3804,2022-12-07 05:32:17,9324,1,0
1005,3804,2022-12-07 05:33:17,8629,1,0
1005,3804,2022-12-07 05:34:21,8630,1,0
1005,3804,2022-12-07 05:34:54,8631,0,0
1005,3804,2022-12-07 05:35:16,8632,0,0
1005,3804,2022-12-07 05:35:41,8633,1,0
1005,3804,2022-12-07 05:36:23,8634,0,0
1005,3804,2022-12-07 05:36:44,8635,0,0
1005,3804,2022-12-07 05:37:40,4065,0,0
1005,3804,2022-12-07 05:38:08,4095,3,0
1005,3804,2022-12-07 05:40:14,4069,1,0
1005,3804,2022-12-07 05:41:01,4087,0,2
1005,3804,2022-12-07 05:41:41,4060,0,0
1005,3804,2022-12-07 05:42:05,10599,0,0
1005,3804,2022-12-07 05:42:43,9465,0,0
1005,3804,2022-12-07 05:43:22,9957,0,4
1005,3804,2022-12-07 05:45:44,9466,1,0
1005,3804,2022-12-07 05:46:19,3892,0,1
1005,3804,2022-12-07 05:47:54,11851,1,2
1005,3804,2022-12-07 05:48:44,13325,0,2
1005,3804,2022-12-07 05:50:19,3062,0,0
1005,3804,2022-12-07 05:50:36,3063,0,0
1005,3804,2022-12-07 05:50:52,8443,1,0
1005,3804,2022-12-07 05:51:46,13640,0,0
1005,3804,2022-12-07 05:52:20,10132,0,2
1005,3804,2022-12-07 05:53:18,4090,1,2
1005,3804,2022-12-07 05:54:14,4066,0,0
1005,3804,2022-12-07 05:54:31,4077,0,0
1005,3804,2022-12-07 05:54:48,9623,0,0
1005,3804,2022-12-07 05:55:44,4085,0,0
1005,3804,2022-12-07 05:56:24,1163,0,1
1005,3804,2022-12-07 05:56:55,8828,0,0
1005,3804,2022-12-07 05:57:11,1171,0,0
1005,3804,2022-12-07 05:57:26,1183,1,0
1005,3804,2022-12-07 05:58:35,5025,0,1
1005,3804,2022-12-07 05:59:08,227,3,1
1005,3804,2022-12-07 06:00:01,247,0,0
1005,3804,2022-12-07 06:00:27,9532,0,0
1005,3804,2022-12-07 06:01:03,9627,0,0
1005,3804,2022-12-07 06:02:21,10495,0,0
1005,3804,2022-12-07 06:03:12,9625,0,7
1010,3804,2022-12-07 06:20:31,9625,4,0
1010,3804,2022-12-07 06:22:22,9628,0,0
1010,3804,2022-12-07 06:22:38,9808,0,0
1010,3804,2022-12-07 06:22:51,11012,0,0
1010,3804,2022-12-07 06:23:27,9531,1,1
1010,3804,2022-12-07 06:24:15,234,0,0
1010,3804,2022-12-07 06:24:23,228,0,0
1010,3804,2022-12-07 06:25:10,1182,0,0
1010,3804,2022-12-07 06:25:30,1162,0,0
1010,3804,2022-12-07 06:25:44,1172,1,0
1010,3804,2022-12-07 06:27:17,4086,0,1
1010,3804,2022-12-07 06:28:22,4080,0,0
1010,3804,2022-12-07 06:28:37,4078,0,0
1010,3804,2022-12-07 06:29:26,4067,1,0
1010,3804,2022-12-07 06:30:24,4091,1,0
1010,3804,2022-12-07 06:31:21,10133,0,0
1010,3804,2022-12-07 06:33:11,3056,0,0
1010,3804,2022-12-07 06:33:39,3064,0,0
1010,3804,2022-12-07 06:34:00,3069,1,0
1010,3804,2022-12-07 06:34:55,3067,0,0
1010,3804,2022-12-07 06:35:39,11852,0,1
1010,3804,2022-12-07 06:37:03,9462,0,0
1010,3804,2022-12-07 06:37:24,9463,2,1
1010,3804,2022-12-07 06:38:12,9464,0,1
1010,3804,2022-12-07 06:39:25,9958,3,2
1010,3804,2022-12-07 06:42:18,4057,0,0
1010,3804,2022-12-07 06:42:39,8316,0,1
1010,3804,2022-12-07 06:44:10,4088,0,1
1010,3804,2022-12-07 06:45:49,4068,1,0
1010,3804,2022-12-07 06:46:39,4062,0,0
1010,3804,2022-12-07 06:46:55,4064,0,0
1010,3804,2022-12-07 06:47:31,8604,0,0
1010,3804,2022-12-07 06:47:46,8605,0,0
1010,3804,2022-12-07 06:47:59,8606,0,0
1010,3804,2022-12-07 06:48:14,9323,0,0
1010,3804,2022-12-07 06:48:43,8607,0,0
1010,3804,2022-12-07 06:49:05,8636,0,0
1010,3804,2022-12-07 06:49:20,8608,0,0
1010,3804,2022-12-07 06:49:52,8609,0,0
1010,3804,2022-12-07 06:50:40,8610,0,0
1010,3804,2022-12-07 06:51:18,8611,0,0
1010,3804,2022-12-07 06:51:48,8612,0,0
1010,3804,2022-12-07 06:52:07,8613,1,0
1010,3804,2022-12-07 06:54:20,8618,2,0
1010,3804,2022-12-07 06:55:17,8665,1,0
1010,3804,2022-12-07 06:56:03,8614,2,0
1010,3804,2022-12-07 06:57:08,8615,0,0
1010,3804,2022-12-07 06:58:24,8616,0,0
1010,3804,2022-12-07 06:59:51,8617,0,0
1010,3804,2022-12-07 07:00:45,5165,0,0
1010,3804,2022-12-07 07:01:06,5197,1,0
1010,3804,2022-12-07 07:01:52,5190,0,4
1010,3804,2022-12-07 07:03:37,6133,0,2
1010,3804,2022-12-07 07:05:36,9650,0,7
1020,3804,2022-12-07 07:14:17,9650,5,0
1020,3804,2022-12-07 07:15:19,6126,1,0
1020,3804,2022-12-07 07:16:25,9169,0,0
1020,3804,2022-12-07 07:17:25,5164,0,0
1020,3804,2022-12-07 07:18:06,5189,0,0
1020,3804,2022-12-07 07:18:30,9038,2,0
1020,3804,2022-12-07 07:19:07,5166,0,0
1020,3804,2022-12-07 07:19:36,8619,2,0
1020,3804,2022-12-07 07:21:00,8620,3,2
1020,3804,2022-12-07 07:22:11,8621,1,0
1020,3804,2022-12-07 07:23:13,8622,2,0
